VendorNumber,VendorName,Brand,Description,Actual_Price,PurchasePrice,Volume,TotalsalesQuantity,TotalsalesDollers,TotalsalesPrice,TotalsalesExciseTax,TotalpurchaseQuantity,TotalPurchaseDollars,FreightCost,GrossProfit,StockturnOver,SalesPurchaseRate
8320,"SHAW ROSS INT L IMP LTD",58,"Gekkeikan Black & Gold Sake",12.99,9.28,750,3446,43341.54000000028,28145.640000001295,2715.1199999999717,69127,624979.6400000001,3151.9200000000014,-581638.0999999999,0.04985027557973006,0.06934872310400426
1128,"BROWN-FORMAN CORP",62,"Herradura Silver Tequila",36.99,28.67,750,3125,119863.75000000336,90154.51000000213,2463.1799999999585,1006122,13529433.080000006,68601.68000000001,-13409569.330000002,0.0031059851588574744,0.008859480607298537
1128,"BROWN-FORMAN CORP",63,"Herradura Reposado Tequila",38.99,30.46,750,2778,112249.22000000307,88553.10000000185,2190.4499999999503,1006122,13529433.080000006,68601.68000000001,-13417183.860000003,0.0027610965668179405,0.00829666840704038
9165,"ULTRA BEVERAGE COMPANY LLP",72,"No. 3 London Dry Gin",34.99,26.11,750,469,17325.30999999997,12626.569999999938,369.84000000000157,1077527,13210613.930000002,68054.70000000003,-13193288.620000001,0.00043525591470097735,0.0013114689515417522
7245,"PROXIMO SPIRITS INC.",75,"Three Olives Tomato Vodka",14.99,10.94,750,21,314.79,134.91,16.53,682042,7588029.899999999,38994.78000000001,-7587715.109999999,0.00003078989270455485,0.00004148507638326518
7245,"PROXIMO SPIRITS INC.",77,"Three Olives Espresso Vodka",12.99,10.39,750,10429,143416.71000000575,85655.80000000421,8214.329999999622,682042,7588029.899999999,38994.78000000001,-7444613.189999994,0.015290847191228692,0.018900388096784616
7245,"PROXIMO SPIRITS INC.",79,"Three Olives Loopy Vodka",14.99,9.62,750,5686,78923.14000000183,57811.5099999982,4481.279999999945,682042,7588029.899999999,38994.78000000001,-7509106.759999998,0.008336729996099947,0.010401005404578313
8112,"MOET HENNESSY USA INC",115,"Belvedere Vodka",27.99,21.37,1000,10255,287037.44999999274,136171.350000009,10767.750000000044,427867,9472995.2,48347.26,-9185957.750000007,0.023967728289398343,0.03030060122905929
480,"BACARDI USA INC",126,"Grey Goose Vodka",32.99,20.14,1000,58013,1736610.8699998797,294049.48999996006,60913.65000000229,1427075,17624378.719999995,89286.26999999999,-15887767.850000115,0.040651682637562844,0.09853458652866944
7245,"PROXIMO SPIRITS INC.",168,"Three Olives Strawberry",12.99,8.95,750,2631,33554.690000000846,23359.64000000065,2073.4799999999564,682042,7588029.899999999,38994.78000000001,-7554475.209999999,0.0038575337002706577,0.0044220555852054364
1128,"BROWN-FORMAN CORP",171,"Gentleman Jack",49.99,36.76,1750,6590,338434.0999999838,236839.0399999868,12113.660000000502,1006122,13529433.080000006,68601.68000000001,-13190998.980000023,0.006549901502998642,0.02501465493777982
12546,"JIM BEAM BRANDS COMPANY",173,"Hornitos Reposado VAP",22.99,14.7,750,1519,31846.310000000438,21299.350000000228,1196.9599999999903,2737165,24203151.05000001,123880.96999999999,-24171304.74000001,0.0005549537568981045,0.0013157918956176753
7245,"PROXIMO SPIRITS INC.",175,"1800 Anejo Tequila",36.99,26.8,750,722,30316.780000000326,24564.150000000238,569.4100000000021,682042,7588029.899999999,38994.78000000001,-7557713.119999999,0.0010585858348899336,0.003995342717350169
11567,"CAMPARI AMERICA",178,"Wild Turkey Russell's RSV",29.99,20.76,750,2509,71658.90999999981,59336.22999999891,1979.209999999952,501284,4141720.7100000004,20964.809999999998,-4070061.8000000007,0.005005146783061099,0.017301724335729005
3664,"WILLIAM GRANT & SONS INC",192,"Milagro Anejo Tequila",35.99,27.68,750,1354,50323.459999999905,37807.83000000035,1067.4499999999912,302685,5960744.350000001,30234.42000000001,-5910420.890000001,0.004473297322298759,0.008442479167891155
4425,"MARTIGNETTI COMPANIES",211,"Cold River Gin",24.99,19.83,750,2492,70184.08000000003,54607.62999999922,1964.979999999957,2640411,27861690.019999996,144929.24,-27791505.939999998,0.0009437924626128281,0.0025190173298755276
12546,"JIM BEAM BRANDS COMPANY",229,"Sauza Gold VAP",12.99,10.39,750,12,179.88000000000002,104.92999999999999,9.46,2737165,24203151.05000001,123880.96999999999,-24202971.17000001,0.000004384098145343814,0.000007432090128611578
3664,"WILLIAM GRANT & SONS INC",233,"Tullamore Dew 12 Yr Old",46.99,30.21,750,1077,46523.230000000054,39019.96000000023,849.5899999999954,302685,5960744.350000001,30234.42000000001,-5914221.12,0.0035581545170722036,0.007804936307996509
9165,"ULTRA BEVERAGE COMPANY LLP",247,"Gran Patron Platinum Tequil",199.99,156.24,750,129,25898.710000000043,21078.950000000023,101.70000000000016,1077527,13210613.930000002,68054.70000000003,-13184715.22,0.0001197185778175396,0.001960447117539831
12546,"JIM BEAM BRANDS COMPANY",254,"DeKuyper Root Beer Schnapps",10.99,8.79,1000,431,4736.689999999963,3857.4899999999657,452.55000000000234,2737165,24203151.05000001,123880.96999999999,-24198414.360000007,0.00015746219172026532,0.0001957055091799694
